name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_BellmanFord/1000/4000/iterations:100",100,7.04913e+07,7.03584e+07,ns,,,,,
"BM_BellmanFord/1000/4100/iterations:100",100,7.19575e+07,7.19075e+07,ns,,,,,
"BM_BellmanFord/1000/4200/iterations:100",100,7.38307e+07,7.37805e+07,ns,,,,,
"BM_BellmanFord/1000/4300/iterations:100",100,7.58368e+07,7.5786e+07,ns,,,,,
"BM_BellmanFord/1000/4400/iterations:100",100,7.74603e+07,7.74103e+07,ns,,,,,
"BM_BellmanFord/1000/4500/iterations:100",100,7.93987e+07,7.93477e+07,ns,,,,,
"BM_BellmanFord/1000/4600/iterations:100",100,8.12853e+07,8.12335e+07,ns,,,,,
"BM_BellmanFord/1000/4700/iterations:100",100,8.33387e+07,8.32375e+07,ns,,,,,
"BM_BellmanFord/1000/4800/iterations:100",100,8.47561e+07,8.47059e+07,ns,,,,,
"BM_BellmanFord/1000/4900/iterations:100",100,8.65558e+07,8.65027e+07,ns,,,,,
"BM_BellmanFord/1000/5000/iterations:100",100,8.79153e+07,8.78616e+07,ns,,,,,
"BM_BellmanFord/1100/4000/iterations:100",100,7.60358e+07,7.59876e+07,ns,,,,,
"BM_BellmanFord/1100/4100/iterations:100",100,7.82164e+07,7.81736e+07,ns,,,,,
"BM_BellmanFord/1100/4200/iterations:100",100,8.12047e+07,8.1156e+07,ns,,,,,
"BM_BellmanFord/1100/4300/iterations:100",100,8.35621e+07,8.35088e+07,ns,,,,,
"BM_BellmanFord/1100/4400/iterations:100",100,8.54974e+07,8.54436e+07,ns,,,,,
"BM_BellmanFord/1100/4500/iterations:100",100,8.7307e+07,8.72493e+07,ns,,,,,
"BM_BellmanFord/1100/4600/iterations:100",100,8.86902e+07,8.86322e+07,ns,,,,,
"BM_BellmanFord/1100/4700/iterations:100",100,9.1985e+07,9.19298e+07,ns,,,,,
"BM_BellmanFord/1100/4800/iterations:100",100,9.3464e+07,9.34015e+07,ns,,,,,
"BM_BellmanFord/1100/4900/iterations:100",100,9.55418e+07,9.54826e+07,ns,,,,,
"BM_BellmanFord/1100/5000/iterations:100",100,9.66737e+07,9.66136e+07,ns,,,,,
"BM_BellmanFord/1200/4000/iterations:100",100,8.5025e+07,8.49709e+07,ns,,,,,
"BM_BellmanFord/1200/4100/iterations:100",100,8.60746e+07,8.60201e+07,ns,,,,,
"BM_BellmanFord/1200/4200/iterations:100",100,8.88166e+07,8.87608e+07,ns,,,,,
"BM_BellmanFord/1200/4300/iterations:100",100,9.17175e+07,9.1665e+07,ns,,,,,
"BM_BellmanFord/1200/4400/iterations:100",100,9.13713e+07,9.13093e+07,ns,,,,,
"BM_BellmanFord/1200/4500/iterations:100",100,9.55361e+07,9.54781e+07,ns,,,,,
"BM_BellmanFord/1200/4600/iterations:100",100,9.86704e+07,9.86036e+07,ns,,,,,
"BM_BellmanFord/1200/4700/iterations:100",100,9.8991e+07,9.89256e+07,ns,,,,,
"BM_BellmanFord/1200/4800/iterations:100",100,1.02147e+08,1.02086e+08,ns,,,,,
"BM_BellmanFord/1200/4900/iterations:100",100,1.04545e+08,1.04477e+08,ns,,,,,
"BM_BellmanFord/1200/5000/iterations:100",100,1.06184e+08,1.06112e+08,ns,,,,,
"BM_BellmanFord/1300/4000/iterations:100",100,9.10972e+07,9.10426e+07,ns,,,,,
"BM_BellmanFord/1300/4100/iterations:100",100,9.2991e+07,9.2935e+07,ns,,,,,
"BM_BellmanFord/1300/4200/iterations:100",100,9.78923e+07,9.78334e+07,ns,,,,,
"BM_BellmanFord/1300/4300/iterations:100",100,9.90516e+07,9.89894e+07,ns,,,,,
"BM_BellmanFord/1300/4400/iterations:100",100,1.01807e+08,1.01742e+08,ns,,,,,
"BM_BellmanFord/1300/4500/iterations:100",100,1.0437e+08,1.04304e+08,ns,,,,,
"BM_BellmanFord/1300/4600/iterations:100",100,1.03582e+08,1.03514e+08,ns,,,,,
"BM_BellmanFord/1300/4700/iterations:100",100,1.07455e+08,1.07382e+08,ns,,,,,
"BM_BellmanFord/1300/4800/iterations:100",100,1.11976e+08,1.11904e+08,ns,,,,,
"BM_BellmanFord/1300/4900/iterations:100",100,1.13165e+08,1.13091e+08,ns,,,,,
"BM_BellmanFord/1300/5000/iterations:100",100,1.14554e+08,1.14481e+08,ns,,,,,
"BM_BellmanFord/1400/4000/iterations:100",100,9.91588e+07,9.90966e+07,ns,,,,,
"BM_BellmanFord/1400/4100/iterations:100",100,1.00259e+08,1.00194e+08,ns,,,,,
"BM_BellmanFord/1400/4200/iterations:100",100,1.00791e+08,1.00724e+08,ns,,,,,
"BM_BellmanFord/1400/4300/iterations:100",100,1.05635e+08,1.05573e+08,ns,,,,,
"BM_BellmanFord/1400/4400/iterations:100",100,1.09013e+08,1.08943e+08,ns,,,,,
"BM_BellmanFord/1400/4500/iterations:100",100,1.13774e+08,1.13641e+08,ns,,,,,
